".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","HS","V15",33,24,4.21975110103696,2.44572183354207e-05,0.000293486620025048,"***"
"value","HS","V30",33,25,3.05418638353136,0.00225671828565354,0.0180537462852283,"*"
"value","HS","V300",33,30,-0.974468306698918,0.329824068110322,1,"ns"
"value","HS","V5",33,21,0.680279685767986,0.496327384687657,1,"ns"
"value","HS","V60",33,29,4.42592217658681,9.60311433373529e-06,0.000124840486338559,"***"
"value","V15","V30",24,25,-1.12757295780285,0.259500312592565,1,"ns"
"value","V15","V300",24,30,-5.03123897415507,4.87320258709942e-07,6.82248362193919e-06,"****"
"value","V15","V5",24,21,-3.15301316884624,0.00161594516813201,0.0145435065131881,"*"
"value","V15","V60",24,29,-0.0199579607242362,0.984076908361537,1,"ns"
"value","V30","V300",25,30,-3.89817480143425,9.69204461126866e-05,0.00106612490723955,"**"
"value","V30","V5",25,21,-2.0942611229817,0.0362367255157057,0.25365707860994,"ns"
"value","V30","V60",25,29,1.16051896479621,0.245837576930365,1,"ns"
"value","V300","V5",30,21,1.53140950732752,0.125668215853353,0.754009295120117,"ns"
"value","V300","V60",30,29,5.26986883044633,1.36521283520214e-07,2.0478192528032e-06,"****"
"value","V5","V60",21,29,3.26884430164473,0.00107987706235686,0.0107987706235686,"*"
