".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","30_sec","1_min",9,27,0.917299922254932,0.358985498113186,1,"ns"
"value","30_sec","2_min",9,19,2.82222174210036,0.00476921889347214,0.100153596762915,"ns"
"value","30_sec","5_min",9,18,2.75071307811959,0.00594657033772137,0.118931406754427,"ns"
"value","30_sec","10_min",9,38,-2.17184373516753,0.0298674515829198,0.358409418995037,"ns"
"value","30_sec","30_min",9,17,3.25869479115699,0.00111926009205989,0.0268622422094373,"*"
"value","30_sec","60_min",9,9,0.287628126505128,0.773631412450064,1,"ns"
"value","30_sec","120_min",9,6,0.490326884348424,0.623902605910485,1,"ns"
"value","1_min","2_min",27,19,2.63467779401115,0.00842171848290401,0.160012651175176,"ns"
"value","1_min","5_min",27,18,2.53016603683547,0.0114008561244432,0.200909090010279,"ns"
"value","1_min","10_min",27,38,-4.60149620621345,4.19466799293868e-06,0.000104866699823467,"***"
"value","1_min","30_min",27,17,3.19839679391611,0.00138193988433772,0.0317846173397676,"*"
"value","1_min","60_min",27,9,-0.565028849449806,0.572054141639689,1,"ns"
"value","1_min","120_min",27,6,-0.209697559511904,0.833903730415591,1,"ns"
"value","2_min","5_min",19,18,-0.0578923369762927,0.953834387093466,1,"ns"
"value","2_min","10_min",19,38,-6.92993223098801,4.21042271e-12,1.1368141306e-10,"****"
"value","2_min","30_min",19,17,0.603027910017213,0.54649012229343,1,"ns"
"value","2_min","60_min",19,9,-2.48714511504532,0.0128772860033385,0.206036576053417,"ns"
"value","2_min","120_min",19,6,-1.88683360580493,0.0591827095242341,0.651009804766575,"ns"
"value","5_min","10_min",18,38,-6.73850914558233,1.600199877e-11,4.1605196811e-10,"****"
"value","5_min","30_min",18,17,0.651573658180183,0.514676245537912,1,"ns"
"value","5_min","60_min",18,9,-2.4185887255911,0.0155808452680475,0.232150171065263,"ns"
"value","5_min","120_min",18,6,-1.83398528187428,0.0666561789499212,0.666561789499212,"ns"
"value","10_min","30_min",38,17,7.36313579393602,1.7963946e-13,5.02990498e-12,"****"
"value","10_min","60_min",38,9,2.5375978490584,0.0111616161116822,0.200909090010279,"ns"
"value","10_min","120_min",38,6,2.42102816582018,0.0154766780710176,0.232150171065263,"ns"
"value","30_min","60_min",17,9,-2.92977944482717,0.00339202667390161,0.0746245868258355,"ns"
"value","30_min","120_min",17,6,-2.28470581135532,0.0223300836490659,0.290291087437857,"ns"
"value","60_min","120_min",9,6,0.233064467105874,0.815711346296016,1,"ns"
