".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",18,16,-0.120743196410253,0.903894443481647,1,"ns"
"value","5_sec","30_sec",18,21,-0.707044812248497,0.47953863010241,1,"ns"
"value","5_sec","60_sec",18,27,-2.32320402516266,0.0201681946498896,0.141177362549227,"ns"
"value","5_sec","hs",18,46,-3.28131336308443,0.00103324880466941,0.0103324880466941,"*"
"value","15_sec","30_sec",16,21,-0.559368973021078,0.575909931915324,1,"ns"
"value","15_sec","60_sec",16,27,-2.10920063236813,0.0349272673666636,0.209563604199982,"ns"
"value","15_sec","hs",16,46,-3.00021507101598,0.00269789035385403,0.0242810131846862,"*"
"value","30_sec","60_sec",21,27,-1.64910858872627,0.099125390403103,0.495626952015515,"ns"
"value","30_sec","hs",21,46,-2.6016146723114,0.00927860392303806,0.0742288313843045,"ns"
"value","60_sec","hs",27,46,-0.846978336244448,0.397007196650731,1,"ns"
