".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",3,3,-1.37436854187255,0.169327297212063,1,"ns"
"value","5_sec","30_sec",3,3,0,1,1,"ns"
"value","5_sec","60_sec",3,3,0.0808452083454445,0.935565054651499,1,"ns"
"value","5_sec","300_sec",3,2,1.30158274691194,0.193059060876436,1,"ns"
"value","5_sec","hs",3,3,1.69774937525433,0.0895550744136425,1,"ns"
"value","15_sec","30_sec",3,3,1.37436854187255,0.169327297212063,1,"ns"
"value","15_sec","60_sec",3,3,1.455213750218,0.145610095396867,1,"ns"
"value","15_sec","300_sec",3,2,2.53085534121766,0.0113784765311933,0.159298671436706,"ns"
"value","15_sec","hs",3,3,3.07211791712688,0.00212545744413755,0.0318818616620633,"*"
"value","30_sec","60_sec",3,3,0.0808452083454445,0.935565054651499,1,"ns"
"value","30_sec","300_sec",3,2,1.30158274691194,0.193059060876436,1,"ns"
"value","30_sec","hs",3,3,1.69774937525433,0.0895550744136425,1,"ns"
"value","60_sec","300_sec",3,2,1.22927259430572,0.218969618938279,1,"ns"
"value","60_sec","hs",3,3,1.61690416690889,0.105898968823693,1,"ns"
"value","300_sec","hs",2,3,0.216930457818656,0.828262540835312,1,"ns"
