".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",3,3,-1.86317701022436,0.0624373662554725,1,"ns"
"value","5_sec","30_sec",3,3,-1.58715078648741,0.112478497809146,1,"ns"
"value","5_sec","60_sec",3,3,-1.51814423055318,0.128978042991964,1,"ns"
"value","5_sec","120_sec",3,2,-2.3454109194238,0.0190061196904467,0.361116274118487,"ns"
"value","5_sec","300_sec",3,3,-2.82926879330365,0.00466544966458208,0.0979744429562238,"ns"
"value","5_sec","hs",3,3,-0.345032779671177,0.730069727580042,1,"ns"
"value","15_sec","30_sec",3,3,0.276026223736942,0.782527924740067,1,"ns"
"value","15_sec","60_sec",3,3,0.345032779671177,0.730069727580042,1,"ns"
"value","15_sec","120_sec",3,2,-0.678934739833204,0.497179212764727,1,"ns"
"value","15_sec","300_sec",3,3,-0.966091783079296,0.333998255821998,1,"ns"
"value","15_sec","hs",3,3,1.51814423055318,0.128978042991964,1,"ns"
"value","30_sec","60_sec",3,3,0.0690065559342355,0.944984401060665,1,"ns"
"value","30_sec","120_sec",3,2,-0.925820099772552,0.354539479773501,1,"ns"
"value","30_sec","300_sec",3,3,-1.24211800681624,0.214193025719128,1,"ns"
"value","30_sec","hs",3,3,1.24211800681624,0.214193025719128,1,"ns"
"value","60_sec","120_sec",3,2,-0.987541439757388,0.323377278246687,1,"ns"
"value","60_sec","300_sec",3,3,-1.31112456275047,0.189815683461764,1,"ns"
"value","60_sec","hs",3,3,1.173111450882,0.24075111511303,1,"ns"
"value","120_sec","300_sec",2,3,-0.18516401995451,0.853100388979009,1,"ns"
"value","120_sec","hs",2,3,2.03680421949961,0.04166966530697,0.75005397552546,"ns"
"value","300_sec","hs",3,3,2.48423601363248,0.0129829729300501,0.259659458601002,"ns"
