".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",2,3,0.740656079818041,0.458901995807745,1,"ns"
"value","5_sec","30_sec",2,3,0.432049379893857,0.665705524221579,1,"ns"
"value","5_sec","60_sec",2,3,0.617213399848368,0.537093978442642,1,"ns"
"value","5_sec","120_sec",2,3,-0.802377419802878,0.422334670662216,1,"ns"
"value","5_sec","300_sec",2,3,-1.35786947966641,0.174505103346519,1,"ns"
"value","5_sec","hs",2,3,-1.48131215963608,0.138523409728315,1,"ns"
"value","15_sec","30_sec",3,3,-0.345032779671177,0.730069727580042,1,"ns"
"value","15_sec","60_sec",3,3,-0.138013111868471,0.890230054943498,1,"ns"
"value","15_sec","120_sec",3,3,-1.72516389835589,0.0844979397239295,1,"ns"
"value","15_sec","300_sec",3,3,-2.346222901764,0.0189647619799384,0.379295239598768,"ns"
"value","15_sec","hs",3,3,-2.48423601363248,0.0129829729300501,0.272642431531053,"ns"
"value","30_sec","60_sec",3,3,0.207019667802706,0.835994498524841,1,"ns"
"value","30_sec","120_sec",3,3,-1.38013111868471,0.167546277488617,1,"ns"
"value","30_sec","300_sec",3,3,-2.00119012209283,0.0453719050658387,0.725950481053419,"ns"
"value","30_sec","hs",3,3,-2.1392032339613,0.0324192123977238,0.551126610761305,"ns"
"value","60_sec","120_sec",3,3,-1.58715078648741,0.112478497809146,1,"ns"
"value","60_sec","300_sec",3,3,-2.20820978989553,0.0272296522709797,0.490133740877634,"ns"
"value","60_sec","hs",3,3,-2.346222901764,0.0189647619799384,0.379295239598768,"ns"
"value","120_sec","300_sec",3,3,-0.621059003408119,0.534560802034505,1,"ns"
"value","120_sec","hs",3,3,-0.75907211527659,0.447809418684031,1,"ns"
"value","300_sec","hs",3,3,-0.138013111868471,0.890230054943497,1,"ns"
