".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",12,12,3.27972490390781,0.00103908352616768,0.00831266820934144,"**"
"value","5_sec","30_sec",12,12,3.27972490390781,0.00103908352616768,0.00831266820934144,"**"
"value","5_sec","60_sec",12,16,3.50617340379804,0.000454598951778067,0.0040913905660026,"**"
"value","5_sec","300_sec",12,15,-1.10102189600427,0.270887127584478,1,"ns"
"value","5_sec","hs",12,18,-1.40586207048139,0.159765086182644,0.958590517095865,"ns"
"value","15_sec","30_sec",12,12,0,1,1,"ns"
"value","15_sec","60_sec",12,16,0,1,1,"ns"
"value","15_sec","300_sec",12,15,-4.55815549437946,5.160482653538e-06,5.6765309188918e-05,"****"
"value","15_sec","hs",12,18,-4.99862069504493,5.7741859649191e-07,8.08386035088673e-06,"****"
"value","30_sec","60_sec",12,16,0,1,1,"ns"
"value","30_sec","300_sec",12,15,-4.55815549437946,5.160482653538e-06,5.6765309188918e-05,"****"
"value","30_sec","hs",12,18,-4.99862069504493,5.7741859649191e-07,8.08386035088673e-06,"****"
"value","60_sec","300_sec",16,15,-4.91201336551816,9.0145906358105e-07,1.08175087629726e-05,"****"
"value","60_sec","hs",16,18,-5.42176537918953,5.901330531783e-08,8.8519957976744e-07,"****"
"value","300_sec","hs",15,18,-0.278916161598549,0.780309165374138,1,"ns"
