".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",13,12,-0.251999468276759,0.801041474795854,1,"ns"
"value","5_sec","30_sec",13,14,1.43805334805846,0.150418917994417,1,"ns"
"value","5_sec","60_sec",13,14,0.950398060972926,0.341910028870573,1,"ns"
"value","5_sec","120_sec",13,13,-1.00778793915222,0.313556277163916,1,"ns"
"value","5_sec","300_sec",13,15,3.32887448090968,0.000871976926153456,0.0156955846707622,"*"
"value","5_sec","hs",13,14,2.81540034211684,0.00487165039261047,0.0779464062817675,"ns"
"value","15_sec","30_sec",12,14,1.66439004246668,0.0960345086838045,0.960345086838045,"ns"
"value","15_sec","60_sec",12,14,1.18694092809485,0.235250921935218,1,"ns"
"value","15_sec","120_sec",12,13,-0.735427019664827,0.462079471337583,1,"ns"
"value","15_sec","300_sec",12,15,3.5174404586117,0.000435730093132466,0.00827887176951685,"**"
"value","15_sec","hs",12,14,3.0129104418375,0.00258755266799867,0.0439883953559775,"*"
"value","30_sec","60_sec",14,14,-0.496944793931528,0.61922798232295,1,"ns"
"value","30_sec","120_sec",14,13,-2.46433435153149,0.0137267996633007,0.205901994949511,"ns"
"value","30_sec","300_sec",14,15,1.90395333438414,0.0569162620428921,0.682995144514705,"ns"
"value","30_sec","hs",14,14,1.40358453247836,0.160442603691759,1,"ns"
"value","60_sec","120_sec",14,13,-1.97667906444595,0.048077918725964,0.625012943437532,"ns"
"value","60_sec","300_sec",14,15,2.40939352650314,0.0159790578006102,0.223706809208543,"ns"
"value","60_sec","hs",14,14,1.90052932640989,0.0573636901870626,0.682995144514705,"ns"
"value","120_sec","300_sec",13,15,4.37203410280402,1.23094291843628e-05,0.000258498012871618,"***"
"value","120_sec","hs",13,14,3.84168134558987,0.000122194407115838,0.00244388814231675,"**"
"value","300_sec","hs",15,14,-0.476374165803759,0.633807836231191,1,"ns"
