".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"value","5_sec","15_sec",9,12,2.63312235441753,0.00846038631053562,0.143826567279106,"ns"
"value","5_sec","30_sec",9,13,0.699397595684532,0.48430358998839,1,"ns"
"value","5_sec","60_sec",9,13,2.10498305497286,0.0352927831069129,0.423513397282954,"ns"
"value","5_sec","120_sec",9,13,-0.991379116213026,0.321500493808116,1,"ns"
"value","5_sec","300_sec",9,15,-1.45859835373181,0.144675686989927,1,"ns"
"value","5_sec","hs",9,15,0.635488909302243,0.525109597804152,1,"ns"
"value","15_sec","30_sec",12,13,-2.14283036832464,0.032126721857659,0.417647384149567,"ns"
"value","15_sec","60_sec",12,13,-0.620293001357131,0.535064901766595,1,"ns"
"value","15_sec","120_sec",12,13,-3.97428836047395,7.05899987477128e-05,0.00134120997620654,"**"
"value","15_sec","300_sec",12,15,-4.58586243907668,4.52116219355504e-06,9.49444060646559e-05,"****"
"value","15_sec","hs",12,15,-2.30610898516787,0.0211045433787367,0.295463607302314,"ns"
"value","30_sec","60_sec",13,13,1.55393319307959,0.120200353083381,0.961602824667047,"ns"
"value","30_sec","120_sec",13,13,-1.86922398587834,0.0615916585360359,0.677508243896395,"ns"
"value","30_sec","300_sec",13,15,-2.42333005303346,0.0153789471013912,0.246063153622259,"ns"
"value","30_sec","hs",13,15,-0.0932448502663576,0.925709044212926,1,"ns"
"value","60_sec","120_sec",13,13,-3.42315717895793,0.000618982743677131,0.0111416893861884,"*"
"value","60_sec","300_sec",13,15,-4.03180372012813,5.53504060740204e-05,0.00110700812148041,"**"
"value","60_sec","hs",13,15,-1.70171851736103,0.0888081474558801,0.799273327102921,"ns"
"value","120_sec","300_sec",13,15,-0.488499410006531,0.625196143522278,1,"ns"
"value","120_sec","hs",13,15,1.84158579276057,0.0655357607637048,0.677508243896395,"ns"
"value","300_sec","hs",15,15,2.41804369003856,0.0156042031175193,0.246063153622259,"ns"
